La_water_1-0.xyz   1533.33    1.0
La_water_1-1.xyz   958.08    1.0
La_water_1-2.xyz   600.83    1.0
La_water_1-3.xyz   371.47    1.0
La_water_1-4.xyz   217.69    1.0
La_water_1-5.xyz   110.87    1.0
La_water_1-6.xyz   35.74    1.0
La_water_1-7.xyz   -16.56    1.0
La_water_1-8.xyz   -51.97    1.0
La_water_1-9.xyz   -74.92    1.0
La_water_2-0.xyz   -88.84    1.0
La_water_2-1.xyz   -96.34    50.0
La_water_2-2.xyz   -99.38    100.0
La_water_2-3.xyz   -99.38    100.0
La_water_2-4.xyz   -97.41    50.0
La_water_2-5.xyz   -94.19    10.0
La_water_2-6.xyz   -90.25    1.0
La_water_2-7.xyz   -85.97    1.0
La_water_2-8.xyz   -81.61    1.0
La_water_2-9.xyz   -77.37    1.0
La_water_3-0.xyz   -73.42    1.0
La_water_3-1.xyz   -69.85    1.0
La_water_3-2.xyz   -66.71    1.0
La_water_3-3.xyz   -64.02    1.0
La_water_3-4.xyz   -61.75    1.0
La_water_3-5.xyz   -59.88    1.0
